MES;CANT_TICKETS_TOTAL
202212;1903703
202205;1142199
202206;1111546
202208;1236842
202204;1376665
202209;1274682
202210;1355169
202211;1537986
202207;1269047
202110;1420736
202202;1393981
202111;1351211
202108;1240034
202109;1185863
202107;1299332
202112;1797093
202203;1316766
202201;1547417
202101;1610981
202011;1412974
202012;1840190
202102;1417070
202105;1239973
202103;1413598
202010;1379457
202104;1389906
202106;1220575
202006;1180598
202009;1184147
202007;1239290
202005;1289556
202004;1313704
202003;1377354
202001;1574905
202008;1340295
202002;1581287
